id;name;height;weight;age;residence_city;residence_state;plays_from_city;plays_from_state;turned_pro;pga_id
1;mobile Fish;77969;59865;59685;Dam;Practical Fresh Pants;Metal deposit;Producer;83244;93855
2;Electronics;99221;18340;61748;Home Loan Account;web-readiness;Namibia;Steel zero administration;36636;23277
3;Licensed Savings Account;38246;51423;98323;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;12203;60999
4;backing up Salad;39106;25877;18223;copy convergence;Mayotte;Industrial;connect Markets Chief;59789;72727
5;archive Georgia Aruba;96117;32533;84453;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;98688;42340
6;reinvent 24 hour Jewelery;19884;70685;71134;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;72960;59129
7;tangible Mississippi;38292;11959;97171;synthesizing hard drive Robust;Avon;system Small;Intelligent Outdoors;63641;47537
8;Montana;69551;90756;13933;Investment Account;override User-centric;Money Market Account;Salad Web virtual;63340;10549
9;Squares mint green e-business;88328;53934;32434;Fresh granular Direct;Profit-focused;Jewelery cutting-edge;Games;51074;53408
10;Bedfordshire Bahamian Dollar;26941;33761;24412;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;3688;26678
